month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,ret,vix_close,mkt_fwd_1m,mkt_fwd_3m,mkt_fwd_6m,sec_fwd_1m,sec_fwd_3m,sec_fwd_6m,momentum
2020-11,2.4696,True,25,0.36,0.0,1.0,0.15107900234847493,0.20149882795937502,0.6079940420352865,-0.057627121451239605,20.56999969482422,0.03264681724902019,0.05502230784010087,0.168900633159488,0.05296413339627071,0.06085511246608477,0.12581148886474192,0.06936724424729875
2020-12,2.4696,True,35,0.2571,0.0,1.0,0.11562509244529862,0.04380222861161709,0.443822363794079,0.15107900234847493,22.75,-0.005971430365202424,0.06456446183558096,0.15355872718084762,-0.006073946691280696,0.023836906626158116,0.14071932370350448,0.057275154635872294
2021-01,1.4147,False,31,0.1935,0.0,1.0,-0.06437903227530994,0.06447902521849391,0.38942512611385416,0.11562509244529862,33.09000015258789,0.027805565577667446,0.13131761769741268,0.19270830611270662,0.013650924218949978,0.08582105275868424,0.19449036919225815,0.08245498836061811
2021-02,0.3598,False,18,0.1667,0.0,1.0,0.0,0.33832343787326247,0.6976049308381347,-0.06437903227530994,27.950000762939453,0.04198659601948562,0.10793925822528339,0.1949761876895122,0.016221280791722137,0.06123020536485724,0.22034712724044225,0.08211801304238923
2021-03,0.0081,False,7,0.2857,0.0,1.0,0.13772463629921639,0.3832336473495912,0.44311389617707,0.0,19.399999618530273,0.056358796144081236,0.08359687791175929,0.08988497504339343,0.054099365419754575,0.11416116797596998,0.12875225533637336,0.031183500275057823
2021-04,0.0081,False,17,0.1176,0.0,1.0,0.1763157755171343,0.305263037783823,0.2657895713800593,0.13772463629921639,18.610000610351562,0.006566253466153471,0.0542647683152353,0.10766510259438267,-0.009305469124824772,0.10008031816797414,0.16042039150965026,0.031183500275057823
2021-05,-0.6951,False,16,0.0,1.0,0.0,0.03355706715238882,0.2684564005961134,-0.13199106704199737,0.1763157755171343,16.760000228881836,0.019093252531928284,0.07855749204486706,0.09159764024300787,0.06690733396499238,0.14993629192911984,0.22345771946640092,0.0470704295610734
2021-06,-0.3435,False,25,0.04,0.0,1.0,0.07359296658440218,0.04329004643735712,-0.14372295945951308,0.03355706715238882,15.829999923706055,0.027763999856495802,0.005802985648825532,0.11676036416458091,0.04077758103721063,0.01309602935355425,0.18173585730498387,0.08606091238913571
2021-07,1.7664,True,34,0.2059,0.0,1.0,0.14314527523149834,-0.030241771398648254,-0.4080644190183831,0.07359296658440218,18.239999771118164,0.029759891958028195,0.05065172989180278,0.032900247965059304,0.035593107570810245,0.05485060712854484,0.059725377679187064,0.06647392318978802
2021-08,3.5246,True,50,0.24,0.0,1.0,-0.14991181401400533,-0.31569667467476203,-0.47087315166212407,0.14314527523149834,16.479999542236328,-0.04965007094072771,0.012090359850375432,-0.026557407175543557,-0.06005263829455354,0.06393521802320223,-0.026608405891193954,0.05946856887963862
2021-09,4.5795,True,76,0.1974,0.0,1.0,-0.002074622422583494,-0.17925312959275808,-0.656829431105057,-0.14991181401400533,23.139999389648438,0.07359198548528068,0.11031720933317635,0.05951136601573692,0.08367304918114793,0.16645986467742535,0.06824730571925386,0.09405595346410667
2021-10,2.4696,True,65,0.1385,0.0,1.0,-0.19334727966271326,-0.38960499274613547,-0.639483185082959,-0.002074622422583494,16.260000228881836,-0.00803469888293773,-0.016895686193341697,-0.09693651921988311,0.04451186854406286,0.004621289989027222,-0.12121982576236667,0.06907065112843912
2021-11,0.4284,False,54,0.0926,0.361,0.639,0.01958764833791493,-0.22676563337407318,-0.547400176128525,-0.19334727966271326,27.190000534057617,0.042584657440141616,-0.03818608353470776,-0.08756692389862841,0.030524089968537726,-0.0851025723940474,-0.16443985367370784,0.0457707746748058
2021-12,-0.3435,False,26,0.0385,0.0,1.0,-0.2578361367580452,-0.5818801371430548,-0.6481119287889805,0.01958764833791493,17.219999313354492,-0.049413173706720714,-0.045757953574322996,-0.20045584819842155,-0.06667940358516089,-0.08419711807686703,-0.26614240892376495,-0.015839734521835458
2022-01,-0.3435,False,28,0.0357,0.0,1.0,0.021849127015666214,-0.40937129132332295,-0.33171069818050136,-0.2578361367580452,24.829999923706055,-0.029516992382245477,-0.0814164192979856,-0.07747081603226602,-0.048774666476272155,-0.1252622426036465,-0.1056249401975411,-0.01816797099091444
2022-02,-0.6951,False,20,0.0,1.0,0.0,-0.4486667094817277,-0.4146666995073791,-0.4193334224239438,0.021849127015666214,30.149999618530273,0.03437692058346831,-0.051341366056957605,-0.08819819402639495,0.03154397750791138,-0.08671713230986489,-0.11817965530209029,-0.07340615488132234
2022-03,-0.6951,False,19,0.0,1.0,0.0,0.048367521164771166,-0.15840383949562864,0.027811347745410497,-0.4486667094817277,20.559999465942383,-0.08493504982789024,-0.16211599059541904,-0.20326518660460358,-0.10853003243959203,-0.1986729834970854,-0.2493001644845343,-0.09362217958396102
2022-04,-0.6951,False,10,0.0,1.0,0.0,0.012687519815445247,0.13148800930591853,-0.12341400499545119,0.048367521164771166,33.400001525878906,0.002257283510331387,0.004295312205236934,-0.054680632386934214,-0.006859149414284893,0.022449359525254176,-0.09122596390578486,-0.14341466216191476
2022-05,-0.6951,False,0,0.0,1.0,0.0,-0.2072892827592191,-0.00797276169429817,0.10364468485017042,0.012687519815445247,26.190000534057617,-0.0864070062255119,-0.03885151797569608,-0.004376235509621407,-0.09490905049100284,-0.034449921382846194,-0.027056558747960868,-0.13500763823068898
2022-06,-0.3435,False,9,0.1111,0.0,1.0,0.40948276051165045,0.2212643022627856,0.18965521023300824,-0.2072892827592191,28.709999084472656,0.09680508221445505,-0.04911085012641081,0.02229213603021063,0.13746682514955877,-0.06317917647203741,-0.016115377823301524,-0.10066850498432922
2022-07,-0.3435,False,17,0.1176,0.5,0.5,-0.11213057912525248,-0.22528034959710508,-0.04587162530984068,0.40948276051165045,21.329999923706055,-0.04080198828320858,-0.058723707932750835,-0.0047719545255119344,-0.06212741254374188,-0.11117941673299214,-0.052232414797156235,-0.13848132683385156
2022-08,-0.1246,False,41,0.0732,0.4591,0.5409,-0.024110161893595716,0.11251449782276302,0.0391566977793989,-0.11213057912525248,25.8700008392334,-0.09615872944933457,0.03586884140259494,0.01147558500707957,-0.1218393872422594,0.00765715088074348,0.014712846688138548,-0.027261510622235623
2022-09,0.446,False,37,0.1622,0.4591,0.5409,-0.10588233075404196,-0.02588226968659557,0.12130715946659021,-0.024110161893595716,31.6200008392334,0.08571711123697523,0.07509075707311808,0.1561660867923511,0.07918601037173212,0.050237780231548346,0.27814023457177095,-0.04959146164572207
2022-10,0.9014,False,39,0.2308,0.4955,0.5045,0.2750000627749227,0.23157889979163748,0.17118902232326483,-0.10588233075404196,25.8799991607666,0.05559158500696393,0.05731765886586726,0.08602753768877514,0.06326747732553706,0.06632047349664916,0.18555581262834475,0.02116796295229993
2022-11,1.5871,True,30,0.4,0.4591,0.5409,-0.14551082615772515,-0.0659387362474183,-0.08142041987490001,0.2750000627749227,20.579999923706055,-0.06193587740845663,-0.023548595556254215,0.03358225288035821,-0.0847309009583781,0.007002079825690899,0.21444108427324715,-0.004540345700835595
2022-12,2.4696,True,24,0.375,0.0,1.0,0.13043467037594825,0.1511002464823532,0.021857976897626585,-0.14551082615772515,21.670000076293945,0.06776834112956465,0.07541254464874814,0.16888093683890282,0.0957119989692572,0.21700081508206304,0.4042442145907994,0.03917841145907732
2023-01,0.7114,False,18,0.2222,0.0,1.0,-0.03300700416217717,-0.04903451778736201,-0.013774020433454881,0.13043467037594825,19.399999618530273,-0.025142655042130646,0.027153503568363435,0.13472763442028213,0.004118918927608961,0.11181942211116147,0.317432584554163,0.04947482089265964
2023-02,-0.3435,False,13,0.0769,0.0,1.0,0.0530387425282266,-0.016574591226794055,-0.06187849078085961,-0.03300700416217717,20.700000762939453,0.03313479864832858,0.05850864485074703,0.1450763711429719,0.10613797316673801,0.20599659981185292,0.29223949254719295,0.0029668058700426103
2023-03,0.3598,False,21,0.1429,0.0,1.0,-0.06610709648525082,-0.11227716263607623,-0.1857294386710504,0.0530387425282266,18.700000762939453,0.019852332993601784,0.08691398724633959,0.05206626267452075,0.0010132009748233806,0.1538564290083162,0.09023278395784429,0.016154068363888496
2023-04,1.7664,True,34,0.2059,0.0,1.0,0.0,0.037078630101132104,-0.19101121571981128,-0.06610709648525082,15.779999732971191,0.004616080799331845,0.10473033531814191,0.012752359716075468,0.08917327575914191,0.18493395451985917,0.0919882595911885,0.029012219100858883
2023-05,1.6733,True,37,0.2432,0.2516,0.7484,-0.04943828781336945,-0.046067448684878776,0.006741506739191161,0.0,17.940000534057617,0.060859227578755615,0.08178272961051825,0.10018232396379578,0.05831509965101711,0.07151172130070238,0.13187319105339879,0.035641424812324074
2023-06,1.6733,True,41,0.2195,0.2516,0.7484,0.09101662396593024,-0.08274235261659968,0.16903086019113123,-0.04943828781336945,13.59000015258789,0.03656942777723482,-0.03206116121488545,0.08003611134680089,0.027974105736105592,-0.05514000134761421,0.11178612287087697,-0.010191918983496381
2023-07,0.4284,False,39,0.2564,0.6805,0.3195,-0.08017336041135348,-0.21993495883595715,0.059588320706011055,0.09101662396593024,13.630000114440918,-0.01625193827527993,-0.08325830536334322,0.06281927147559307,-0.01508271659216498,-0.07843955738978936,0.11320017279328565,0.005820170740562902
2023-08,0.2726,False,45,0.2889,0.7883,0.2117,-0.08598359641779363,0.055359213134372975,0.11318529258616761,-0.08017336041135348,13.569999694824219,-0.050782730440929624,0.017008585781270513,0.13675896965012124,-0.06677679417616278,0.056332999959556096,0.18342088930530376,-0.0007495036611067651
2023-09,0.8085,False,59,0.2881,0.7485,0.2515,-0.072164805480323,0.2744847246855313,0.10835810631108989,-0.08598359641779363,17.520000457763672,-0.01825779093464608,0.11581028477210675,0.2329072913570862,0.0026250166428387622,0.1766675745153472,0.2760039851775369,-0.008610563035969484
