month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,monthly_return,vix_close,ps_quartile
2023-10,-0.2198,False,452,0.1637,0.5789,0.4211,0.293185325993246,0.3480327486216308,0.0693860106568649,-0.05000981328784093,18.139999389648438,Q3
2023-11,-0.1291,False,436,0.1766,0.5561,0.4439,0.06031547189888342,0.0031969635919164574,-0.274403250265289,0.293185325993246,12.920000076293945,Q3
2023-12,-0.3495,False,438,0.1393,0.5597,0.4403,-0.01688442517764599,-0.1879396678215295,-0.32115579729703203,0.06031547189888342,12.449999809265137,Q3
2024-01,-0.0922,False,442,0.1697,0.528,0.472,-0.03762012182229124,-0.2067062081760872,-0.3335718396566757,-0.01688442517764599,14.350000381469727,Q3
2024-02,0.2371,False,536,0.1828,0.5272,0.4728,-0.14170380735478827,-0.27671556427290833,-0.3932971951479838,-0.03762012182229124,13.399999618530273,Q3
2024-03,0.3639,False,595,0.2017,0.5788,0.4212,-0.03960401555414428,-0.1640470839378778,-0.2892326963355679,-0.14170380735478827,13.010000228881836,Q3
2024-04,0.3448,False,644,0.1879,0.5876,0.4124,-0.12255157633027491,-0.1599226324321832,-0.260180399790113,-0.03960401555414428,15.649999618530273,Q3
2024-05,0.7081,False,734,0.1826,0.5376,0.4624,-0.008004085743239076,-0.16118365765451625,0.2835953330378236,-0.12255157633027491,12.920000076293945,Q3
2024-06,1.1444,False,783,0.1928,0.4937,0.5063,-0.03486558281708274,-0.14975198960653802,0.14301582536056223,-0.008004085743239076,12.4399995803833,Q4 (highest)
2024-07,1.7572,True,803,0.2391,0.4959,0.5041,-0.12386869858146399,-0.11934349290732005,0.39216128017466967,-0.03486558281708274,16.360000610351562,Q4 (highest)
2024-08,2.0039,True,779,0.2696,0.5001,0.4999,0.005515164448077758,0.5302459766683332,0.5503808185151902,-0.12386869858146399,15.0,Q4 (highest)
2024-09,2.3426,True,815,0.2712,0.4741,0.5259,-0.00034825801249160904,0.3443322552811603,0.2725056841845164,0.005515164448077758,16.729999542236328,Q4 (highest)
2024-10,1.7504,True,892,0.2444,0.557,0.443,0.5223828907538077,0.580822112778824,0.3890437721395801,-0.00034825801249160904,23.15999984741211,Q4 (highest)
2024-11,1.3359,False,894,0.2371,0.6094,0.3906,-0.11664759172579087,0.013157911965692604,0.17660179964669087,0.5223828907538077,13.510000228881836,Q4 (highest)
2024-12,0.9948,False,832,0.2344,0.6334,0.3666,0.1755067042419649,-0.053429180780626195,0.4491936983702811,-0.11664759172579087,17.350000381469727,Q4 (highest)
2025-01,0.6697,False,755,0.2212,0.6366,0.3634,-0.0242961188737969,-0.12131557313689723,0.23133715367713625,0.1755067042419649,16.43000030517578,Q3
2025-02,0.6153,False,690,0.2116,0.5967,0.4033,-0.17470356507679452,0.16132123704575374,0.3476002000960503,-0.0242961188737969,19.6299991607666,Q3
2025-03,0.5901,False,769,0.1795,0.5794,0.4206,0.09120143334062036,0.530993422727118,0.5431718486623818,-0.17470356507679452,22.280000686645508,Q3
2025-04,0.7706,False,887,0.1714,0.5787,0.4213,0.28954787814438054,0.4013417286488179,0.723493607219132,0.09120143334062036,24.700000762939453,Q4 (highest)
2025-05,0.6845,False,956,0.1642,0.6103,0.3897,0.08800508710389332,0.1604026148046387,0.22156856969865757,0.28954787814438054,18.56999969482422,Q3
2025-06,0.9141,False,991,0.1826,0.6199,0.3801,-0.001206615128505728,0.00795459063016124,-0.01970775161062155,0.08800508710389332,16.729999542236328,Q4 (highest)
2025-07,1.068,False,921,0.2172,0.6304,0.3696,0.06782999401391221,0.22988816502376963,-0.13780761991837942,-0.001206615128505728,16.719999313354492,Q4 (highest)
2025-08,1.1143,False,950,0.2126,0.6265,0.3735,-0.054931703717362224,0.05271097644356537,-0.29435179301957404,0.06782999401391221,15.359999656677246,Q4 (highest)
2025-09,1.3399,False,891,0.2492,0.6264,0.3736,0.2187098255978952,-0.027444036167828423,-0.33132340818630135,-0.054931703717362224,16.280000686645508,Q4 (highest)
2025-10,1.8324,True,948,0.2627,0.6013,0.3987,-0.08600116039624894,-0.2989668454408151,-0.5594077471659553,0.2187098255978952,17.440000534057617,Q4 (highest)
2025-11,1.724,True,874,0.2838,0.6142,0.3858,-0.1268906391728284,-0.3296847636524526,,-0.08600116039624894,16.350000381469727,Q4 (highest)
2025-12,1.1093,False,743,0.2705,0.6255,0.3745,-0.12153539199457541,-0.3124543813613503,,-0.1268906391728284,14.949999809265137,Q4 (highest)
2026-01,0.2123,False,623,0.2504,0.7083,0.2917,-0.12605082340845564,-0.37151010623585623,,-0.12153539199457541,17.440000534057617,Q3
2026-02,1.0926,False,773,0.2885,0.6649,0.3351,-0.10444745534940103,,,-0.12605082340845564,19.860000610351562,Q4 (highest)
2026-03,2.3036,True,1037,0.3057,0.6375,0.3625,-0.19698982410204635,,,-0.10444745534940103,25.25,Q4 (highest)
