ticker,repo,tier,corp_commits,total_commits,corp_ratio,months_active,density_months,N1a,N1b,N2,N3,sample_phi,N4,all_pass,fail_reason,oss_exception,selected
NOW,ServiceNow/sn-cicd,,0,0,0.0,0,0,False,False,False,False,,,False,no commits found,False,False
NOW,ServiceNow/eva,,91,98,0.9286,1,1,False,False,False,True,,,False,N1a(corp=91),False,False
NOW,ServiceNow/servicenow-cli,,0,5,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
NOW,ServiceNow/jgit,,40,4200,0.0095,26,3,False,False,False,False,,,False,N1a(corp=40),False,False
NOW,ServiceNow/now-ui-icons,,0,0,0.0,0,0,False,False,False,False,,,False,no commits found,False,False
NOW,ServiceNow/devsnc,,0,0,0.0,0,0,False,False,False,False,,,False,no commits found,False,False
NOW,ServiceNow/servicenow-devops-sonar,,43,54,0.7963,24,3,False,False,False,True,,,False,N1a(corp=43),False,False
NOW,ServiceNow/servicenow-devops-register-artifact,,30,38,0.7895,22,3,False,False,False,True,,,False,N1a(corp=30),False,False
NOW,ServiceNow/context-is-key-forecasting,,260,843,0.3084,16,8,True,False,False,True,,,False,N1b(density=8),False,False
NOW,ServiceNow/PipelineRL,,368,932,0.3948,11,9,True,False,False,True,,,False,N1b(density=9),False,False
NOW,ServiceNow/ai,,0,0,0.0,0,0,False,False,False,False,,,False,no commits found,False,False
NOW,ServiceNow/EnterpriseOps-Gym,,5,5,1.0,1,0,False,False,False,True,,,False,N1a(corp=5),False,False
NOW,ServiceNow/TapeAgents,,1444,2676,0.5396,16,14,True,False,False,True,,,False,N1b(density=14),False,False
NOW,ServiceNow/servicenow-mid-server,,0,0,0.0,0,0,False,False,False,False,,,False,no commits found,False,False
NOW,ServiceNow/WorkArena,,66,213,0.3099,22,8,False,False,False,True,,,False,N1a(corp=66),False,False
NOW,ServiceNow/servicenow-devops-security-result,,27,35,0.7714,15,4,False,False,False,True,,,False,N1a(corp=27),False,False
NOW,ServiceNow/servicenow-appengine,,0,0,0.0,0,0,False,False,False,False,,,False,no commits found,False,False
NOW,ServiceNow/drbench,,9,17,0.5294,8,0,False,False,False,True,,,False,N1a(corp=9),False,False
NOW,ServiceNow/AlignVLM,,0,9,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
NOW,ServiceNow/AU-Harness,,23,28,0.8214,7,3,False,False,False,True,,,False,N1a(corp=23),False,False
NOW,ServiceNow/servicenow-devops-update-change,,43,53,0.8113,24,3,False,False,False,True,,,False,N1a(corp=43),False,False
NOW,ServiceNow/AgentLab,,98,961,0.102,13,7,False,False,False,False,,,False,N1a(corp=98),False,False
NOW,ServiceNow/servicenow-types,,0,0,0.0,0,0,False,False,False,False,,,False,no commits found,False,False
NOW,ServiceNow/Megatron-LM,,99,2070,0.0478,19,14,False,False,False,False,,,False,N1a(corp=99),False,False
NOW,ServiceNow/kafka-go,,0,533,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
NOW,ServiceNow/PipelineRL-FML,,334,898,0.3719,11,9,True,False,False,True,,,False,N1b(density=9),False,False
NOW,ServiceNow/saai-skill-feedback,,0,3,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
NOW,ServiceNow/sncicd-deploy-app,,0,0,0.0,0,0,False,False,False,False,,,False,no commits found,False,False
NOW,ServiceNow/StarFlow,,28,30,0.9333,10,3,False,False,False,True,,,False,N1a(corp=28),False,False
NOW,ServiceNow/Fast-LLM,,181,267,0.6779,19,18,False,False,False,True,,,False,N1a(corp=181),False,False
NOW,ServiceNow/servicenow-devops-change,,65,93,0.6989,40,8,False,False,False,True,,,False,N1a(corp=65),False,False
NOW,ServiceNow/Time-LLM,,0,40,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
NOW,ServiceNow/apriel,,1,1,1.0,3,0,False,False,False,True,,,False,N1a(corp=1),False,False
NOW,ServiceNow/Now-PipelineRL,,65,547,0.1188,8,4,False,False,False,False,,,False,N1a(corp=65),False,False
NOW,ServiceNow/sdk-examples,,40,48,0.8333,18,5,False,False,False,True,,,False,N1a(corp=40),False,False
NOW,ServiceNow/servicenow-devops-register-package,,33,42,0.7857,22,3,False,False,False,True,,,False,N1a(corp=33),False,False
NOW,ServiceNow/DataOps-Gym,,0,5,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
NOW,ServiceNow/servicenow-devtools,,0,0,0.0,0,0,False,False,False,False,,,False,no commits found,False,False
NOW,ServiceNow/servicenow-devops-get-change,,49,61,0.8033,28,3,False,False,False,True,,,False,N1a(corp=49),False,False
NOW,ServiceNow/sdk,,5,5,1.0,7,0,False,False,False,True,,,False,N1a(corp=5),False,False
NOW,ServiceNow/servicenow-devops-test-report,,57,70,0.8143,30,3,False,False,False,True,,,False,N1a(corp=57),False,False
NOW,ServiceNow/insight-bench,,1,19,0.0526,3,0,False,False,False,False,,,False,N1a(corp=1),False,False
NOW,ServiceNow/SNulk,,6,6,1.0,4,0,False,False,False,True,,,False,N1a(corp=6),False,False
NOW,ServiceNow/PySNC,,120,201,0.597,44,15,False,False,False,True,,,False,N1a(corp=120),False,False
NOW,ServiceNow/BrowserGym,,3,385,0.0078,9,0,False,False,False,False,,,False,N1a(corp=3),False,False
NOW,ServiceNow/PipelineRL-SWE,,59,653,0.0904,5,4,False,False,False,False,,,False,N1a(corp=59),False,False
NOW,ServiceNow/vllm-dev,,2,5000,0.0004,3,0,False,False,False,False,,,False,N1a(corp=2),False,False
SNOW,Snowflake-Labs/snowflake-demo-notebooks,,117,428,0.2734,18,7,False,False,False,True,,,False,N1a(corp=117),False,False
SNOW,snowflakedb/snowflake-connector-python,,954,1476,0.6463,82,75,True,True,True,True,0.275,True,True,,False,False
SNOW,Snowflake-Labs/dlsync,,110,134,0.8209,13,12,False,False,False,True,,,False,N1a(corp=110),False,False
SNOW,Snowflake-Labs/sfguide-getting-started-with-cortex-agent-evaluations,,23,32,0.7188,4,1,False,False,False,True,,,False,N1a(corp=23),False,False
SNOW,Snowflake-Labs/builder-workshops,,69,86,0.8023,23,8,False,False,False,True,,,False,N1a(corp=69),False,False
SNOW,Snowflake-Labs/RSnowflake,,30,30,1.0,1,1,False,False,False,True,,,False,N1a(corp=30),False,False
SNOW,Snowflake-Labs/sfguide-golden-batch-process-optimization-with-cortex-ai,,2,3,0.6667,1,0,False,False,False,True,,,False,N1a(corp=2),False,False
SNOW,Snowflake-Labs/cortex-analyst,,0,0,0.0,0,0,False,False,False,False,,,False,no commits found,False,False
SNOW,Snowflake-Labs/getting-started-with-dbt-on-snowflake,,16,19,0.8421,9,3,False,False,False,True,,,False,N1a(corp=16),False,False
SNOW,Snowflake-Labs/ai-ready-data,,2,15,0.1333,1,0,False,False,False,False,,,False,N1a(corp=2),False,False
SNOW,snowflakedb/duckdb-rs,,0,575,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
SNOW,Snowflake-Labs/blueprint-manager,,6,7,0.8571,2,0,False,False,False,True,,,False,N1a(corp=6),False,False
SNOW,snowflakedb/snowflake-ado-extension,,17,18,0.9444,8,1,False,False,False,True,,,False,N1a(corp=17),False,False
SNOW,Snowflake-Labs/Sentry,,205,207,0.9903,19,12,True,False,False,True,,,False,N1b(density=12),False,False
SNOW,snowflakedb/reusable-workflows,,46,47,0.9787,25,0,False,False,False,True,,,False,N1a(corp=46),False,False
SNOW,snowflakedb/native-apps-roadmap,,0,1,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
SNOW,snowflakedb/snowflake-kafka-connector,,446,823,0.5419,71,46,True,False,True,True,,,False,N1b(density=46),False,False
SNOW,snowflakedb/native-apps-templates,,45,46,0.9783,12,4,False,False,False,True,,,False,N1a(corp=45),False,False
SNOW,Snowflake-Labs/sfguide-many-model-inference-in-snowflake,,14,14,1.0,4,3,False,False,False,True,,,False,N1a(corp=14),False,False
SNOW,snowflakedb/terraform-provider-snowflake,,1426,2441,0.5842,50,47,True,False,True,True,,,False,N1b(density=47),False,False
SNOW,snowflakedb/snowflake-connector-nodejs,,370,737,0.502,67,41,True,False,True,True,,,False,N1b(density=41),False,False
SNOW,snowflakedb/SnowAlert,,219,642,0.3411,21,17,True,False,False,True,,,False,N1b(density=17),False,False
SNOW,snowflakedb/ArcticInference,,119,129,0.9225,13,9,False,False,False,True,,,False,N1a(corp=119),False,False
SNOW,Snowflake-Labs/sf-samples,,145,292,0.4966,42,21,False,False,False,True,,,False,N1a(corp=145),False,False
SNOW,Snowflake-Labs/sfguides,,7,17,0.4118,2,0,False,False,False,True,,,False,N1a(corp=7),False,False
SNOW,Snowflake-Labs/apache-iceberg-from-zero,,5,20,0.25,1,0,False,False,False,True,,,False,N1a(corp=5),False,False
SNOW,snowflakedb/snowpark-python,,2283,2917,0.7827,60,59,True,True,True,True,0.495,True,True,,False,False
SNOW,Snowflake-Labs/agent-world-model,,2,2,1.0,2,0,False,False,False,True,,,False,N1a(corp=2),False,False
