month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,monthly_return,vix_close,ps_quartile
2020-01,-0.0583,False,1537,0.0937,0.7943,0.2057,-0.04675351995907184,0.013867639835443368,0.25635182202186346,-0.016272771465357883,18.84000015258789,Q3
2020-02,-0.6366,False,1384,0.0845,0.8263,0.1737,-0.1333714194398945,0.169480803803284,0.5233542407414806,-0.04675351995907184,40.11000061035156,Q2
2020-03,-1.0913,False,1338,0.0725,0.8659,0.1341,0.22727826749976265,0.36133083293918933,0.5701437081250824,-0.1333714194398945,53.540000915527344,Q1 (lowest)
2020-04,-1.2149,False,1322,0.0741,0.8876,0.1124,0.09955522387700899,0.23916749352585787,0.2852811451463917,0.22727826749976265,34.150001525878906,Q1 (lowest)
2020-05,-1.0596,False,1365,0.0806,0.8771,0.1229,0.008796556203450212,0.30259020565994765,0.23048552751564455,0.09955522387700899,27.510000228881836,Q1 (lowest)
2020-06,-0.3628,False,1353,0.0924,0.8022,0.1978,0.11714456016025054,0.15338877966574405,0.20297690768594046,0.008796556203450212,30.43000030517578,Q2
2020-07,-0.0201,False,1358,0.0957,0.7674,0.2326,0.15583234121896017,0.037213412925580114,0.01837021161590413,0.11714456016025054,24.459999084472656,Q3
2020-08,-0.4813,False,1410,0.1,0.8382,0.1618,-0.10675312632110079,-0.055354844394651326,-0.12135077212604517,0.15583234121896017,26.40999984741211,Q2
2020-09,-0.7592,False,1478,0.1022,0.8785,0.1215,0.004619901288496653,0.042993419820303025,0.12458936265937393,-0.10675312632110079,26.3700008392334,Q2
2020-10,-0.8988,False,1703,0.1163,0.9187,0.0813,0.05267769218755691,-0.0181671400262039,0.2355288284842425,0.004619901288496653,38.02000045776367,Q1 (lowest)
2020-11,-0.665,False,1554,0.1178,0.8915,0.1085,-0.013756005634594226,-0.06986319396207807,0.18687952417994946,0.05267769218755691,20.56999969482422,Q2
2020-12,-1.0092,False,1403,0.1055,0.9032,0.0968,-0.05429045656048481,0.07823246176675691,0.27291717311974684,-0.013756005634594226,22.75,Q1 (lowest)
2021-01,-0.9756,False,1266,0.09,0.8696,0.1304,-0.0027485264397885123,0.25839017907509976,0.3792434283607924,-0.05429045656048481,33.09000015258789,Q1 (lowest)
2021-02,-1.3253,False,1322,0.0749,0.9067,0.0933,0.14327299279449845,0.2760268344133885,0.4726342445959335,-0.0027485264397885123,27.950000762939453,Q1 (lowest)
2021-03,-1.1638,False,1418,0.0825,0.8988,0.1012,0.10372451574298691,0.18055912640024396,0.15231072231545295,0.14327299279449845,19.399999618530273,Q1 (lowest)
2021-04,-1.2046,False,1567,0.0855,0.9165,0.0835,0.011228204161930933,0.09603797875673048,-0.00464478317674899,0.10372451574298691,18.610000610351562,Q1 (lowest)
2021-05,-1.108,False,1467,0.0893,0.9028,0.0972,0.05773744658821878,0.1540778021905227,-0.012989393383259329,0.011228204161930933,16.760000228881836,Q1 (lowest)
2021-06,-1.2354,False,1285,0.0856,0.9028,0.0972,0.02470427807193354,-0.023927987555291685,-0.032670986035793215,0.05773744658821878,15.829999923706055,Q1 (lowest)
