quarter,date,gross_margin,ps_zscore_mean,ticker,regime,gm_lead1,gm_lead2,gm_lead4
2026Q1,2026-03-31,51.81606333221316,-0.21853333333333333,AMZN,positive,,,
2019Q1,2019-01-31,73.74410213710797,2.0192666666666668,CRM,positive,75.54187851217554,75.80685514135602,74.85054627911771
2019Q2,2019-04-30,75.54187851217554,1.6173000000000002,CRM,positive,75.80685514135602,74.8725902947042,74.224049331963
2019Q3,2019-07-31,75.80685514135602,-0.29113333333333336,CRM,positive,74.8725902947042,74.85054627911771,74.5486313337216
2019Q4,2019-10-31,74.8725902947042,1.4968000000000001,CRM,positive,74.85054627911771,74.224049331963,74.27569662299317
2020Q1,2020-01-31,74.85054627911771,1.7935999999999999,CRM,positive,74.224049331963,74.5486313337216,74.57452294997421
2020Q2,2020-04-30,74.224049331963,0.9239333333333334,CRM,positive,74.5486313337216,74.27569662299317,73.92252222035887
2020Q3,2020-07-31,74.5486313337216,0.21453333333333333,CRM,positive,74.27569662299317,74.57452294997421,74.5583596214511
2020Q4,2020-10-31,74.27569662299317,-0.7840333333333334,CRM,positive,74.57452294997421,73.92252222035887,73.13128369517705
2021Q1,2021-01-31,74.57452294997421,-0.7750333333333334,CRM,positive,73.92252222035887,74.5583596214511,72.50887250887251
2021Q2,2021-04-30,73.92252222035887,-0.9535666666666667,CRM,positive,74.5583596214511,73.13128369517705,72.40588314667387
2021Q3,2021-07-31,74.5583596214511,-0.8524333333333333,CRM,positive,73.13128369517705,72.50887250887251,72.4481865284974
2021Q4,2021-10-31,73.13128369517705,-0.44189999999999996,CRM,positive,72.50887250887251,72.40588314667387,73.35715197141764
2022Q1,2022-01-31,72.50887250887251,-0.4653333333333333,CRM,positive,72.40588314667387,72.4481865284974,74.95229007633588
2022Q2,2022-04-30,72.40588314667387,-0.2904333333333333,CRM,positive,72.4481865284974,73.35715197141764,74.23305444404026
2022Q3,2022-07-31,72.4481865284974,0.3541666666666667,CRM,positive,73.35715197141764,74.95229007633588,75.43880041845867
2022Q4,2022-10-31,73.35715197141764,0.41253333333333336,CRM,positive,74.95229007633588,74.23305444404026,75.28669724770643
2023Q1,2023-01-31,74.95229007633588,-0.3283,CRM,positive,74.23305444404026,75.43880041845867,76.87089479918166
2023Q2,2023-04-30,74.23305444404026,-0.7355999999999999,CRM,positive,75.43880041845867,75.28669724770643,76.32760319719698
2023Q3,2023-07-31,75.43880041845867,-0.8892333333333333,CRM,positive,75.28669724770643,76.87089479918166,76.84718498659518
2023Q4,2023-10-31,75.28669724770643,-0.6470333333333333,CRM,positive,76.87089479918166,76.32760319719698,77.71071579839052
2024Q1,2024-01-31,76.87089479918166,-0.6685666666666666,CRM,positive,76.32760319719698,76.84718498659518,77.81447012909037
2024Q2,2024-04-30,76.32760319719698,-0.5344,CRM,positive,76.84718498659518,77.71071579839052,76.95594668837114
2024Q3,2024-07-31,76.84718498659518,0.2650666666666667,CRM,positive,77.71071579839052,77.81447012909037,78.0969128565846
2024Q4,2024-10-31,77.71071579839052,1.6668666666666667,CRM,positive,77.81447012909037,76.95594668837114,78.01930012671801
2025Q1,2025-01-31,77.81447012909037,0.10053333333333332,CRM,positive,76.95594668837114,78.0969128565846,77.60914204088921
2025Q2,2025-04-30,76.95594668837114,-0.5545,CRM,positive,78.0969128565846,78.01930012671801,
2025Q3,2025-07-31,78.0969128565846,-0.4565666666666666,CRM,positive,78.01930012671801,77.60914204088921,
2025Q4,2025-10-31,78.01930012671801,-0.6495333333333334,CRM,positive,77.60914204088921,,
2026Q1,2026-01-31,77.60914204088921,-0.5470333333333334,CRM,positive,,,
2019Q1,2019-03-31,73.0,-0.9207666666666666,DDOG,negative,74.99277108433735,75.590625,79.38142857142857
2019Q2,2019-06-30,74.99277108433735,-0.7789999999999999,DDOG,negative,75.590625,79.9763358778626,77.86516129032258
2019Q3,2019-09-30,75.590625,-0.8411333333333334,DDOG,negative,79.9763358778626,79.38142857142857,76.32311557788944
2020Q1,2020-03-31,79.9763358778626,-0.807,DDOG,negative,79.38142857142857,77.86516129032258,75.40641025641025
2020Q2,2020-06-30,79.38142857142857,-0.26586666666666664,DDOG,negative,77.86516129032258,76.32311557788944,76.72444444444444
2020Q3,2020-09-30,77.86516129032258,-0.6434333333333333,DDOG,negative,76.32311557788944,75.40641025641025,79.49531680440771
