quarter,date,revenue,revenue_yoy,ps_zscore_mean,ps_zscore_max,ticker,revenue_yoy_lead1,revenue_yoy_lead2
2022Q4,2022-12-31,149204000000.0,8.581492154979188,-0.6159666666666667,-0.5245,AMZN,9.37274569750266,10.845967302901816
2023Q1,2023-03-31,127358000000.0,9.37274569750266,-0.7921,-0.6034,AMZN,10.845967302901816,12.5742519728405
2023Q2,2023-06-30,134383000000.0,10.845967302901816,-0.6227333333333332,-0.1781,AMZN,12.5742519728405,13.911825420230016
2023Q3,2023-09-30,143083000000.0,12.5742519728405,0.08156666666666666,0.1901,AMZN,13.911825420230016,12.527677884388888
2023Q4,2023-12-31,169961000000.0,13.911825420230016,0.35359999999999997,0.8154,AMZN,12.527677884388888,10.11586286955939
2024Q1,2024-03-31,143313000000.0,12.527677884388888,-0.6566333333333333,-0.5466,AMZN,10.11586286955939,11.038348371225105
2024Q2,2024-06-30,147977000000.0,10.11586286955939,-0.5102666666666668,-0.2228,AMZN,11.038348371225105,10.49123034107824
2024Q3,2024-09-30,158877000000.0,11.038348371225105,-0.37346666666666667,-0.3073,AMZN,10.49123034107824,8.620292646166083
2024Q4,2024-12-31,187792000000.0,10.49123034107824,-0.5625,-0.2566,AMZN,8.620292646166083,13.329774221669588
2025Q1,2025-03-31,155667000000.0,8.620292646166083,-0.8883333333333333,-0.7732,AMZN,13.329774221669588,13.401562214795092
2025Q2,2025-06-30,167702000000.0,13.329774221669588,-0.4519,-0.2461,AMZN,13.401562214795092,13.6289085797052
2025Q3,2025-09-30,180169000000.0,13.401562214795092,-0.7432333333333334,-0.5452,AMZN,13.6289085797052,16.607244952366273
2025Q4,2025-12-31,213386000000.0,13.6289085797052,0.24970000000000003,0.4413,AMZN,16.607244952366273,
2026Q1,2026-03-31,181519000000.0,16.607244952366273,-0.21853333333333333,0.0459,AMZN,,
2016Q1,2016-03-31,3600000000.0,29.032258064516125,-1.0635,-1.0635,BABA,48.177641653905056,47.419724770642205
2016Q2,2016-06-30,4838000000.0,48.177641653905056,-1.0635,-1.0635,BABA,47.419724770642205,43.80273767110445
2016Q3,2016-09-30,5142000000.0,47.419724770642205,-1.0635,-1.0635,BABA,43.80273767110445,48.47222222222223
2016Q4,2016-12-31,7669000000.0,43.80273767110445,-1.0635,-1.0635,BABA,48.47222222222223,53.01777594047128
2017Q1,2017-03-31,5345000000.0,48.47222222222223,-1.0601666666666667,-1.0535,BABA,53.01777594047128,61.12407623492804
2017Q2,2017-06-30,7403000000.0,53.01777594047128,-1.030166666666667,-1.0235,BABA,61.12407623492804,66.39718346590169
2017Q3,2017-09-30,8285000000.0,61.12407623492804,-0.9867666666666667,-0.9634,BABA,66.39718346590169,114.20018709073902
2017Q4,2017-12-31,12761000000.0,66.39718346590169,-0.8566666666666666,-0.7132,BABA,114.20018709073902,65.18978792381466
2018Q1,2018-03-31,11449000000.0,114.20018709073902,-0.4529,-0.3828,BABA,65.18978792381466,49.643934821967406
2018Q2,2018-06-30,12229000000.0,65.18978792381466,-0.8233,-0.8033,BABA,49.643934821967406,33.66507327011989
2018Q3,2018-09-30,12398000000.0,49.643934821967406,-0.059199999999999996,0.3679,BABA,33.66507327011989,26.36911520656826
2018Q4,2018-12-31,17057000000.0,33.66507327011989,-0.14983333333333335,0.1677,BABA,26.36911520656826,36.89590318096327
2019Q1,2019-03-31,14468000000.0,26.36911520656826,-0.6507666666666667,-0.4729,BABA,36.89590318096327,34.3039199870947
2019Q2,2019-06-30,16741000000.0,36.89590318096327,-0.6396666666666667,-0.5653,BABA,34.3039199870947,35.967637919915575
2019Q3,2019-09-30,16651000000.0,34.3039199870947,-0.8047666666666666,-0.7877,BABA,35.967637919915575,6.4487144042023825
2019Q4,2019-12-31,23192000000.0,35.967637919915575,-0.7132000000000001,-0.6431,BABA,6.4487144042023825,29.992234633534444
2020Q1,2020-03-31,15401000000.0,6.4487144042023825,-0.5964,-0.543,BABA,29.992234633534444,37.15692751186115
2020Q2,2020-06-30,21762000000.0,29.992234633534444,-0.6898,-0.6731,BABA,37.15692751186115,46.09779234218696
2020Q3,2020-09-30,22838000000.0,37.15692751186115,-0.8444333333333334,-0.7132,BABA,46.09779234218696,101.26615154860073
2020Q4,2020-12-31,33883000000.0,46.09779234218696,-0.7345666666666667,-0.6123,BABA,101.26615154860073,46.424960941089964
2021Q1,2021-03-31,30997000000.0,101.26615154860073,-0.2963,-0.061,BABA,46.424960941089964,36.38234521411683
2021Q2,2021-06-30,31865000000.0,46.424960941089964,-0.2521666666666667,-0.1078,BABA,36.38234521411683,12.345423958917445
2021Q3,2021-09-30,31147000000.0,36.38234521411683,-0.4211666666666667,-0.2103,BABA,12.345423958917445,8.039487692357316
2021Q4,2021-12-31,38066000000.0,12.345423958917445,-0.014199999999999999,0.1131,BABA,8.039487692357316,-3.690569590459747
2022Q1,2022-03-31,33489000000.0,8.039487692357316,0.06236666666666666,0.1356,BABA,-3.690569590459747,-6.495007544867882
2022Q2,2022-06-30,30689000000.0,-3.690569590459747,0.04676666666666667,0.1021,BABA,-6.495007544867882,-5.63494982398991
2022Q3,2022-09-30,29124000000.0,-6.495007544867882,0.22796666666666665,0.3706,BABA,-5.63494982398991,-8.157902594881906
2022Q4,2022-12-31,35921000000.0,-5.63494982398991,0.08553333333333334,0.1838,BABA,-8.157902594881906,5.223369937111011
2023Q1,2023-03-31,30757000000.0,-8.157902594881906,-0.044433333333333325,0.0339,BABA,5.223369937111011,5.7890399670375015
