quarter,date,revenue,revenue_yoy,ps_zscore_mean,ps_zscore_max,ticker,rev_lead1,rev_lead2,rev_lead4
2022Q1,2022-01-31,78.0,85.71428571428572,-1.0331,-0.7183,GTLB,74.0,74.13793103448276,57.692307692307686
2022Q2,2022-04-30,87.0,74.0,-0.6664333333333333,-0.3892,GTLB,74.13793103448276,68.65671641791045,45.977011494252885
2022Q3,2022-07-31,101.0,74.13793103448276,-0.7028333333333333,-0.4082,GTLB,68.65671641791045,57.692307692307686,38.6138613861386
2022Q4,2022-10-31,113.0,68.65671641791045,0.09466666666666668,0.7387,GTLB,57.692307692307686,45.977011494252885,32.74336283185841
2023Q1,2023-01-31,123.0,57.692307692307686,-0.7827000000000001,-0.5211,GTLB,45.977011494252885,38.6138613861386,33.33333333333333
2023Q2,2023-04-30,127.0,45.977011494252885,0.39680000000000004,0.9229,GTLB,38.6138613861386,32.74336283185841,33.07086614173229
2023Q3,2023-07-31,140.0,38.6138613861386,-1.1113,-0.7183,GTLB,32.74336283185841,33.33333333333333,30.714285714285715
2023Q4,2023-10-31,150.0,32.74336283185841,0.00773333333333337,1.201,GTLB,33.33333333333333,33.07086614173229,30.666666666666664
2024Q1,2024-01-31,164.0,33.33333333333333,0.2137,0.4182,GTLB,33.07086614173229,30.714285714285715,28.65853658536586
2024Q2,2024-04-30,169.0,33.07086614173229,-0.09796666666666665,0.4891,GTLB,30.714285714285715,30.666666666666664,27.21893491124261
2024Q3,2024-07-31,183.0,30.714285714285715,-0.7017000000000001,-0.025,GTLB,30.666666666666664,28.65853658536586,28.961748633879793
2024Q4,2024-10-31,196.0,30.666666666666664,2.7752,3.3223,GTLB,28.65853658536586,27.21893491124261,24.489795918367353
2025Q1,2025-01-31,211.0,28.65853658536586,0.6765,0.9137,GTLB,27.21893491124261,28.961748633879793,23.222748815165883
2025Q2,2025-04-30,215.0,27.21893491124261,0.30229999999999996,1.1601,GTLB,28.961748633879793,24.489795918367353,
2025Q3,2025-07-31,236.0,28.961748633879793,0.6081333333333333,1.1051,GTLB,24.489795918367353,23.222748815165883,
2025Q4,2025-10-31,244.0,24.489795918367353,0.5458333333333334,1.5355,GTLB,23.222748815165883,,
2026Q1,2026-01-31,260.0,23.222748815165883,0.11533333333333333,0.416,GTLB,,,
2021Q3,2021-09-30,83.0,93.0232558139535,1.9853666666666667,3.0173,MNDY,92.0,83.05084745762711,65.06024096385543
2021Q4,2021-12-31,96.0,92.0,0.3016666666666667,1.8767,MNDY,83.05084745762711,74.64788732394365,56.25
2022Q1,2022-03-31,108.0,83.05084745762711,0.7361999999999999,1.5509,MNDY,74.64788732394365,65.06024096385543,50.0
2022Q2,2022-06-30,124.0,74.64788732394365,-0.2957,0.5733,MNDY,65.06024096385543,56.25,41.93548387096775
2022Q3,2022-09-30,137.0,65.06024096385543,-0.8388666666666666,-0.5673,MNDY,56.25,50.0,37.95620437956204
2022Q4,2022-12-31,150.0,56.25,-1.1798333333333335,-1.048,MNDY,50.0,41.93548387096775,35.33333333333333
2023Q1,2023-03-31,162.0,50.0,-0.9085000000000001,-0.7965,MNDY,41.93548387096775,37.95620437956204,33.95061728395061
2023Q2,2023-06-30,176.0,41.93548387096775,-1.1480666666666668,-0.9331,MNDY,37.95620437956204,35.33333333333333,34.09090909090908
2023Q3,2023-09-30,189.0,37.95620437956204,-0.33496666666666663,0.2931,MNDY,35.33333333333333,33.95061728395061,32.80423280423281
2023Q4,2023-12-31,203.0,35.33333333333333,-0.35106666666666664,0.2718,MNDY,33.95061728395061,34.09090909090908,32.01970443349753
2024Q1,2024-03-31,217.0,33.95061728395061,-0.5591,-0.4151,MNDY,34.09090909090908,32.80423280423281,29.95391705069124
2024Q2,2024-06-30,236.0,34.09090909090908,0.8564666666666666,1.7138,MNDY,32.80423280423281,32.01970443349753,26.694915254237284
2024Q3,2024-09-30,251.0,32.80423280423281,0.11476666666666667,0.3044,MNDY,32.01970443349753,29.95391705069124,26.294820717131472
2024Q4,2024-12-31,268.0,32.01970443349753,-0.44530000000000003,-0.1572,MNDY,29.95391705069124,26.694915254237284,24.626865671641784
2025Q1,2025-03-31,282.0,29.95391705069124,0.3940333333333334,0.5733,MNDY,26.694915254237284,26.294820717131472,24.468085106382986
2025Q2,2025-06-30,299.0,26.694915254237284,0.9223,1.4356,MNDY,26.294820717131472,24.626865671641784,
2025Q3,2025-09-30,317.0,26.294820717131472,1.248,1.5844,MNDY,24.626865671641784,24.468085106382986,
2025Q4,2025-12-31,334.0,24.626865671641784,0.2995666666666667,0.8064,MNDY,24.468085106382986,,
2026Q1,2026-03-31,351.0,24.468085106382986,-0.44506666666666667,-0.2283,MNDY,,,
